City Number,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country
348,innisfail,-17.5333,146.0333,74.73,75,7,8.21,AU
349,victor harbor,-35.5667,138.6167,48.99,92,0,10.74,AU
350,cabo san lucas,22.8909,-109.9124,87.8,35,75,6.93,MX
351,port augusta,-32.5,137.7667,53.01,61,100,5.82,AU
352,trairi,-3.2778,-39.2689,75.92,85,56,7.31,BR
353,vilhena,-12.7406,-60.1458,74.66,49,73,3.44,BR
354,zeya,53.75,127.2667,74.1,36,0,7.67,RU
355,padang,-0.9492,100.3543,76.14,86,100,5.61,ID
356,medak,18.0333,78.2667,73.99,72,99,3.0,IN
357,prince rupert,54.3161,-130.3201,62.6,77,1,10.29,CA
358,valle de allende,26.9333,-105.4,85.73,20,25,4.72,MX
359,clyde river,70.4692,-68.5914,37.4,93,90,6.93,CA
360,te anau,-45.4167,167.7167,40.75,82,87,1.74,NZ
361,fez,34.0372,-4.9998,69.8,64,0,5.82,MA
362,lithgow,-33.4833,150.15,46.99,90,100,3.0,AU
363,phek,25.6667,94.5,65.73,67,100,2.01,IN
364,cidreira,-30.1811,-50.2056,54.54,82,94,18.81,BR
365,mahajanga,-15.7167,46.3167,69.8,77,20,2.24,MG
366,payson,40.0444,-111.7321,90.0,37,1,11.41,US
367,zonguldak,41.25,31.8333,57.2,83,31,2.01,TR
368,kayes,14.0,-11.0,95.0,39,100,11.41,ML
369,port keats,-14.25,129.55,79.27,35,20,10.49,AU
370,mathathane,-22.2687,28.7495,52.45,75,40,5.55,BW
371,lagoa,39.05,-27.9833,68.29,80,82,8.46,PT
372,marsh harbour,26.5412,-77.0636,84.96,71,100,10.04,BS
373,denizli,37.8402,29.0698,62.6,88,0,3.36,TR
374,khirkiya,22.1674,76.8605,79.74,80,67,7.56,IN
375,warrnambool,-38.3833,142.4833,46.99,91,0,7.0,AU
376,togur,58.3631,82.8265,65.98,93,98,7.31,RU
377,ambilobe,-13.2,49.05,69.31,79,0,6.26,MG
378,massaguet,12.4755,15.4365,80.6,78,91,3.36,TD
379,kiama,-34.6833,150.8667,62.01,71,0,1.01,AU
380,egvekinot,66.3167,-179.1667,52.59,71,89,3.56,RU
381,marsabit,2.3284,37.9899,63.16,61,58,20.98,KE
382,zaraza,9.3503,-65.3245,73.62,93,20,4.07,VE
383,chisinau,47.0056,28.8575,55.4,87,0,3.36,MD
384,wageningen,51.9667,5.6667,61.0,100,90,1.12,NL
